,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
15,"frozenset({'Vegan', 'Vegetarian', 'Ethiopian'})",frozenset({'African'}),0.2094240837696335,0.18848167539267016,0.1518324607329843,0.725,3.8465277777777778,0.11235985855650886,2.9509757258448355
16,"frozenset({'Vegan', 'African'})","frozenset({'Vegetarian', 'Ethiopian'})",0.18324607329842932,0.21465968586387435,0.1518324607329843,0.8285714285714285,3.85993031358885,0.11249691620295496,4.581151832460732
17,"frozenset({'Vegan', 'Ethiopian'})","frozenset({'African', 'Vegetarian'})",0.23036649214659685,0.16753926701570682,0.1518324607329843,0.6590909090909091,3.9339488636363633,0.11323702749376387,2.4418848167539267
18,"frozenset({'African', 'Vegetarian'})","frozenset({'Vegan', 'Ethiopian'})",0.16753926701570682,0.23036649214659685,0.1518324607329843,0.9062499999999999,3.9339488636363633,0.11323702749376387,8.209424083769624
19,"frozenset({'Vegetarian', 'Ethiopian'})","frozenset({'Vegan', 'African'})",0.21465968586387435,0.18324607329842932,0.1518324607329843,0.7073170731707317,3.85993031358885,0.11249691620295496,2.790575916230366
20,frozenset({'African'}),"frozenset({'Vegan', 'Vegetarian', 'Ethiopian'})",0.18848167539267016,0.2094240837696335,0.1518324607329843,0.8055555555555555,3.8465277777777773,0.11235985855650886,4.0658189977561685
21,frozenset({'Ethiopian'}),"frozenset({'Vegan', 'African', 'Vegetarian'})",0.24083769633507854,0.16230366492146597,0.1518324607329843,0.6304347826086956,3.8842917251051885,0.11274361996655793,2.266707730212503
22,"frozenset({'Vegan', 'African', 'American (New)'})",frozenset({'Ethiopian'}),0.17801047120418848,0.24083769633507854,0.16753926701570682,0.9411764705882354,3.9079283887468033,0.12466763520736823,12.905759162303687
23,"frozenset({'Vegan', 'Ethiopian', 'American (New)'})",frozenset({'African'}),0.225130890052356,0.18848167539267016,0.16753926701570682,0.744186046511628,3.948320413436693,0.12510621967599572,3.1722989052832
24,"frozenset({'Vegan', 'African'})","frozenset({'Ethiopian', 'American (New)'})",0.18324607329842932,0.2356020942408377,0.16753926701570682,0.9142857142857144,3.880634920634921,0.12436610838518683,8.917975567190236
25,"frozenset({'Vegan', 'Ethiopian'})","frozenset({'African', 'American (New)'})",0.23036649214659685,0.18324607329842932,0.16753926701570682,0.7272727272727273,3.968831168831169,0.1253255119103095,2.9947643979057594
26,"frozenset({'African', 'American (New)'})","frozenset({'Vegan', 'Ethiopian'})",0.18324607329842932,0.23036649214659685,0.16753926701570682,0.9142857142857144,3.9688311688311693,0.1253255119103095,8.979057591623045
27,"frozenset({'Ethiopian', 'American (New)'})","frozenset({'Vegan', 'African'})",0.2356020942408377,0.18324607329842932,0.16753926701570682,0.7111111111111111,3.880634920634921,0.12436610838518683,2.8272251308900525
28,frozenset({'African'}),"frozenset({'Vegan', 'Ethiopian', 'American (New)'})",0.18848167539267016,0.225130890052356,0.16753926701570682,0.888888888888889,3.948320413436693,0.12510621967599572,6.9738219895288
29,frozenset({'Ethiopian'}),"frozenset({'Vegan', 'African', 'American (New)'})",0.24083769633507854,0.17801047120418848,0.16753926701570682,0.6956521739130435,3.9079283887468033,0.12466763520736823,2.700822737471952
